city,season,HR,n,mean,median,q25,q75
Rize,Kış,20,632,0.0,0.0,0.0,0.0
Rize,Kış,21,632,0.0,0.0,0.0,0.0
Rize,Kış,22,632,0.0,0.0,0.0,0.0
Rize,Kış,23,632,0.0,0.0,0.0,0.0
Rize,İlkbahar,0,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,1,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,2,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,3,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,4,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,5,582,9.02852233676976,0.0,0.0,12.6975
Rize,İlkbahar,6,582,58.099707903780065,35.474999999999994,6.59,92.46000000000001
Rize,İlkbahar,7,582,155.30591065292094,126.825,66.9125,226.5425
Rize,İlkbahar,8,582,276.4100343642612,253.32999999999998,145.0725,392.6175
Rize,İlkbahar,9,582,394.7217010309278,389.855,227.025,548.1575
Rize,İlkbahar,10,582,490.51204467353955,509.48,293.0475,667.38
Rize,İlkbahar,11,582,560.8850515463918,582.19,364.095,765.4975
Rize,İlkbahar,12,582,581.8865120274914,594.12,378.53999999999996,793.435
Rize,İlkbahar,13,582,557.5195360824742,583.86,355.735,765.4649999999999
Rize,İlkbahar,14,582,486.17226804123715,514.31,310.8375,673.8675000000001
Rize,İlkbahar,15,582,373.0112886597938,380.565,214.725,527.27
Rize,İlkbahar,16,582,246.22223367697595,236.175,134.16250000000002,343.9975
Rize,İlkbahar,17,582,122.91049828178694,97.71,58.6275,172.9875
Rize,İlkbahar,18,582,31.84018900343643,17.48,4.092499999999999,45.4025
Rize,İlkbahar,19,582,1.451958762886598,0.0,0.0,0.0
Rize,İlkbahar,20,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,21,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,22,582,0.0,0.0,0.0,0.0
Rize,İlkbahar,23,582,0.0,0.0,0.0,0.0
Rize,Yaz,0,615,0.0,0.0,0.0,0.0
Rize,Yaz,1,615,0.0,0.0,0.0,0.0
Rize,Yaz,2,615,0.0,0.0,0.0,0.0
Rize,Yaz,3,615,0.0,0.0,0.0,0.0
Rize,Yaz,4,615,0.0,0.0,0.0,0.0
Rize,Yaz,5,615,20.447674796747968,14.9,5.8100000000000005,32.735
Rize,Yaz,6,615,101.13944715447155,94.38,60.34,139.20499999999998
Rize,Yaz,7,615,222.89835772357722,224.02,153.785,282.28499999999997
Rize,Yaz,8,615,367.72845528455287,380.42,281.235,455.21500000000003
Rize,Yaz,9,615,489.07658536585365,516.67,369.65,607.7650000000001
Rize,Yaz,10,615,593.5302601626016,642.6,456.20000000000005,741.2
Rize,Yaz,11,615,673.3245853658536,733.0,544.76,821.635
Rize,Yaz,12,615,711.4747967479675,776.92,604.365,864.1949999999999
Rize,Yaz,13,615,693.5356422764228,763.05,584.99,838.94
Rize,Yaz,14,615,634.2893008130081,688.03,555.5,759.99
Rize,Yaz,15,615,522.5243577235772,571.45,434.7,635.4100000000001
Rize,Yaz,16,615,371.7061138211382,398.95,297.95000000000005,467.46000000000004
Rize,Yaz,17,615,217.24029268292682,223.4,158.27499999999998,284.75
Rize,Yaz,18,615,85.4930406504065,86.68,49.285,120.24000000000001
Rize,Yaz,19,615,9.617642276422766,9.0,1.29,16.085
Rize,Yaz,20,615,0.0,0.0,0.0,0.0
Rize,Yaz,21,615,0.0,0.0,0.0,0.0
Rize,Yaz,22,615,0.0,0.0,0.0,0.0
Rize,Yaz,23,615,0.0,0.0,0.0,0.0
Rize,Sonbahar,0,637,0.0,0.0,0.0,0.0
Rize,Sonbahar,1,637,0.0,0.0,0.0,0.0
Rize,Sonbahar,2,637,0.0,0.0,0.0,0.0
Rize,Sonbahar,3,637,0.0,0.0,0.0,0.0
Rize,Sonbahar,4,637,0.0,0.0,0.0,0.0
Rize,Sonbahar,5,637,0.0,0.0,0.0,0.0
Rize,Sonbahar,6,637,10.800847723704868,3.65,0.0,17.58
Rize,Sonbahar,7,637,74.72178963893249,58.55,25.0,115.65
Rize,Sonbahar,8,637,185.74346938775508,170.6,108.05,260.33
Rize,Sonbahar,9,637,301.4601726844584,295.98,197.43,407.67
Rize,Sonbahar,10,637,391.3147409733124,401.02,261.58,531.95
Rize,Sonbahar,11,637,448.73452119309263,459.95,294.33,599.22
Rize,Sonbahar,12,637,462.870125588697,472.1,318.02,619.35
Rize,Sonbahar,13,637,424.30756671899525,423.98,277.2,576.95
