city,resolution,lag,acf,pacf
Konya,günlük,20,0.20141662763657775,0.02306595099259039
Konya,günlük,21,0.19028543657843158,0.006501012487846517
Konya,günlük,22,0.21048367699091997,0.055807822327108396
Konya,günlük,23,0.21041521743941224,0.024166865381791032
Konya,günlük,24,0.21493642423613116,0.036411786257574
Konya,günlük,25,0.20694526456758044,0.017644435893103428
Konya,günlük,26,0.19292070688011342,0.0065275078204137214
Konya,günlük,27,0.19653400362330084,0.027651450509002265
Konya,günlük,28,0.18713977265867654,0.004867627667149954
Konya,günlük,29,0.18367683045838307,0.009262731693825783
Konya,günlük,30,0.18645992346750745,0.017209616491279226
Rize,saatlik,1,0.965195379950047,0.965195379950047
Rize,saatlik,2,0.9221642363427678,-0.13798505652426743
Rize,saatlik,3,0.8732756366793551,-0.09578362788607993
Rize,saatlik,4,0.82523545248103,0.004025592019239357
Rize,saatlik,5,0.7799736393138643,0.01688453769126045
Rize,saatlik,6,0.7408136825658728,0.05396482692483403
Rize,saatlik,7,0.7014140257950664,-0.05061849159850376
Rize,saatlik,8,0.6606242394571361,-0.05348564296672492
Rize,saatlik,9,0.6174168323566016,-0.04953784912128948
Rize,saatlik,10,0.5794967397463319,0.07013774486924755
Rize,saatlik,11,0.5337147595223434,-0.15218469732945855
Rize,saatlik,12,0.4842398375227208,-0.080144197763839
Rize,saatlik,13,0.47238100387029786,
Rize,saatlik,14,0.4651024029361409,
Rize,saatlik,15,0.451801196148341,
Rize,saatlik,16,0.4428204824090618,
Rize,saatlik,17,0.4312216685552198,
Rize,saatlik,18,0.4205579418550849,
Rize,saatlik,19,0.4079316837599922,
Rize,saatlik,20,0.3960750225569976,
Rize,saatlik,21,0.3876165583914789,
Rize,saatlik,22,0.3831017405261492,
Rize,saatlik,23,0.38206370903381215,
Rize,saatlik,24,0.3776490117901004,
Rize,saatlik,25,0.3574261347235369,
Rize,saatlik,26,0.33281785370735706,
Rize,saatlik,27,0.30641152260936627,
Rize,saatlik,28,0.2824737176703545,
Rize,saatlik,29,0.2624792352127769,
Rize,saatlik,30,0.24613409944572953,
Rize,saatlik,31,0.2309968929126274,
Rize,saatlik,32,0.21224051963211296,
Rize,saatlik,33,0.18626172661819437,
Rize,saatlik,34,0.16647408474991043,
Rize,saatlik,35,0.15015660003224438,
Rize,saatlik,36,0.14823626919600924,
Rize,saatlik,37,0.16489233670741507,
Rize,saatlik,38,0.17708263245076716,
Rize,saatlik,39,0.1678266216695675,
Rize,saatlik,40,0.1655312966694644,
Rize,saatlik,41,0.16138961424704373,
Rize,saatlik,42,0.15600734099122565,
Rize,saatlik,43,0.1512347440377713,
Rize,saatlik,44,0.14934831280870048,
Rize,saatlik,45,0.15105086091745495,
Rize,saatlik,46,0.15558178097084482,
Rize,saatlik,47,0.16167764664270573,
Rize,saatlik,48,0.16560106860854906,
Rize,saatlik,49,0.1546371678591469,
Rize,saatlik,50,0.14070589668293523,
Rize,saatlik,51,0.12711135978343072,
Rize,saatlik,52,0.11629127966328598,
Rize,saatlik,53,0.1090944062284119,
Rize,saatlik,54,0.10522093598741548,
Rize,saatlik,55,0.0999155958990828,
Rize,saatlik,56,0.09336951710417594,
Rize,saatlik,57,0.07714008961510958,
Rize,saatlik,58,0.0604851273562948,
Rize,saatlik,59,0.045193924247285015,
Rize,saatlik,60,0.04857041065661023,
Rize,saatlik,61,0.06385731863061686,
Rize,saatlik,62,0.09000814398144778,
Rize,saatlik,63,0.09532724709487439,
Rize,saatlik,64,0.10272789732898911,
Rize,saatlik,65,0.10380453898175057,
Rize,saatlik,66,0.10112704886746836,
Rize,saatlik,67,0.09873490817686281,
Rize,saatlik,68,0.0991225402431398,
Rize,saatlik,69,0.10290583890470421,
Rize,saatlik,70,0.10914866023318871,
Rize,saatlik,71,0.11649218010299564,
Rize,saatlik,72,0.12030550829846554,
Rize,günlük,1,0.396138320172571,0.396138320172571
Rize,günlük,2,0.1596755891695049,0.003261895223352809
Rize,günlük,3,0.11492733849251312,0.06000469257878396
Rize,günlük,4,0.0917028632504407,0.030759462815465842
Rize,günlük,5,0.08293479458806534,0.03498584903001089
Rize,günlük,6,0.020019387188938493,-0.03895946353209217
Rize,günlük,7,0.024963787032277442,0.02359158068263082
Rize,günlük,8,0.02870634855885476,0.007541964056917394
Rize,günlük,9,0.024024495820663776,0.0067626747063588
Rize,günlük,10,0.01706762019090842,0.0013374949290012185
Rize,günlük,11,0.013968670702114232,0.005972348183594415
Rize,günlük,12,0.02186063754168828,0.011674999417209017
Rize,günlük,13,0.049108675113328004,0.03983583932290121
Rize,günlük,14,0.047668225985029206,0.014280717724521714
Rize,günlük,15,0.06412099214032638,0.040883740452740916
Rize,günlük,16,0.10114270337872212,0.0652033559887757
Rize,günlük,17,0.0992794248543939,0.032408037404021935
Rize,günlük,18,0.08739214759056899,0.024739264311096
Rize,günlük,19,0.07591555326034533,0.02091920286682438
Rize,günlük,20,0.05629548896822903,0.001499849755041019
Rize,günlük,21,0.04275144114816911,0.0017434510595480447
Rize,günlük,22,0.03355185259920675,0.004495143397133382
Rize,günlük,23,0.06468282063251224,0.048115856373821736
Rize,günlük,24,0.08273033615777259,0.04024176302581063
Rize,günlük,25,0.07271778246735874,0.0211992289781648
